"filename", "language", "JavaScript", "JSON", "Dart", "comment", "blank", "total"
"d:\Personal\Workspace\Flutter\attendo_app\lib\widgets\choice_button.dart", "Dart", 0, 0, -32, 0, -3, -35
"d:\Personal\Workspace\Flutter\attendo_app\lib\widgets\circle_avatar.dart", "Dart", 0, 0, -41, 0, -3, -44
"d:\Personal\Workspace\Flutter\attendo_app\lib\widgets\custom_group_listtile.dart", "Dart", 0, 0, -98, -7, -4, -109
"d:\Personal\Workspace\Flutter\attendo_app\lib\widgets\date_time_picker.dart", "Dart", 0, 0, -97, -3, -11, -111
"d:\Personal\Workspace\Flutter\attendo_app\lib\widgets\group_detail_screen\all_activity_card.dart", "Dart", 0, 0, -239, -3, -6, -248
"d:\Personal\Workspace\Flutter\attendo_app\lib\widgets\group_detail_screen\today_activity_card.dart", "Dart", 0, 0, -118, 0, -3, -121
"d:\Personal\Workspace\Flutter\attendo_app\lib\widgets\my_button.dart", "Dart", 0, 0, -28, 0, -3, -31
"d:\Personal\Workspace\Flutter\attendo_app\lib\widgets\my_textfield.dart", "Dart", 0, 0, -46, 0, -8, -54
"d:\Personal\Workspace\Flutter\attendo_app\lib\widgets\setting_screen\setting_container.dart", "Dart", 0, 0, -50, 0, -4, -54
"d:\Personal\Workspace\Flutter\attendo_app\lib\widgets\square_login_button.dart", "Dart", 0, 0, -31, 0, -3, -34
"d:\Personal\Workspace\Flutter\attendo_app\lib\widgets\today_activity_listtile.dart", "Dart", 0, 0, -113, 0, -10, -123
"Total", "-", 329, 7197, -5088, -133, -454, 1851
